#1000 pts per wavenumber up to wavenumber=2000
#100 pts per wavenumber after wavenumber=2000
#x   qext   qsca   qback   gsca   p180
  1.0   0.3532   0.3532   0.0732   0.0000   0.0165
  2.0   1.2400   1.2400   0.1757   0.0000   0.0113
  3.0   2.3207   2.3207   0.2973   0.0000   0.0102
  4.0   3.2592   3.2592   0.3775   0.0000   0.0092
  5.0   3.8144   3.8144   0.3705   0.0000   0.0077
  6.0   3.8918   3.8918   0.2833   0.0000   0.0058
  7.0   3.5558   3.5558   0.1744   0.0000   0.0039
  8.0   2.9827   2.9827   0.1343   0.0000   0.0036
  9.0   2.3760   2.3760   0.2723   0.0000   0.0091
 10.0   1.9212   1.9212   0.6121   0.0000   0.0254
 11.0   1.7468   1.7468   1.0543   0.0000   0.0480
 12.0   1.8713   1.8713   1.5653   0.0000   0.0666
 13.0   2.2042   2.2042   2.3695   0.0000   0.0855
 14.0   2.5449   2.5449   2.9063   0.0000   0.0909
 15.0   2.7641   2.7641   2.6555   0.0000   0.0765
 16.0   2.7816   2.7816   2.2460   0.0000   0.0643
 17.0   2.6355   2.6355   2.2306   0.0000   0.0674
 18.0   2.3824   2.3824   2.3645   0.0000   0.0790
 19.0   2.1151   2.1151   1.9234   0.0000   0.0724
 20.0   1.9366   1.9366   1.5521   0.0000   0.0638
 21.0   1.9073   1.9073   1.4131   0.0000   0.0590
 22.0   2.0534   2.0534   1.8508   0.0000   0.0717
 23.0   2.2500   2.2500   1.7082   0.0000   0.0604
 24.0   2.4532   2.4532   1.7285   0.0000   0.0561
 25.0   2.5260   2.5260   1.1989   0.0000   0.0378
 26.0   2.4962   2.4962   1.5694   0.0000   0.0500
 27.0   2.3497   2.3497   1.1251   0.0000   0.0381
 28.0   2.1839   2.1839   1.1223   0.0000   0.0409
 29.0   2.0220   2.0220   0.8856   0.0000   0.0349
 30.0   1.9570   1.9570   0.9304   0.0000   0.0378
 31.0   1.9933   1.9933   0.5995   0.0000   0.0239
 32.0   2.1314   2.1314   0.7024   0.0000   0.0262
 33.0   2.2834   2.2834   0.7724   0.0000   0.0269
 34.0   2.3876   2.3876   0.9857   0.0000   0.0329
 35.0   2.3988   2.3988   1.0354   0.0000   0.0343
 36.0   2.3279   2.3279   1.2692   0.0000   0.0434
 37.0   2.2101   2.2101   1.9138   0.0000   0.0689
 38.0   2.0809   2.0809   2.3665   0.0000   0.0905
 39.0   1.9943   1.9943   2.0419   0.0000   0.0815
 40.0   1.9843   1.9843   1.8575   0.0000   0.0745
 41.0   2.0616   2.0616   2.1252   0.0000   0.0820
 42.0   2.1774   2.1774   2.3832   0.0000   0.0871
 43.0   2.2894   2.2894   1.7732   0.0000   0.0616
 44.0   2.3297   2.3297   1.1928   0.0000   0.0407
 45.0   2.3030   2.3030   1.0783   0.0000   0.0373
 46.0   2.2231   2.2231   1.2331   0.0000   0.0441
 47.0   2.1168   2.1168   1.0284   0.0000   0.0387
 48.0   2.0309   2.0309   0.8618   0.0000   0.0338
 49.0   1.9919   1.9919   0.8443   0.0000   0.0337
 50.0   2.0262   2.0262   1.2677   0.0000   0.0498
 51.0   2.1056   2.1056   1.1207   0.0000   0.0424
 52.0   2.2119   2.2119   1.2406   0.0000   0.0446
 53.0   2.2727   2.2727   1.4120   0.0000   0.0494
 54.0   2.2786   2.2786   1.5850   0.0000   0.0554
 55.0   2.2226   2.2226   1.2711   0.0000   0.0455
 56.0   2.1426   2.1426   1.4111   0.0000   0.0524
 57.0   2.0615   2.0615   1.6993   0.0000   0.0656
 58.0   2.0115   2.0115   1.4148   0.0000   0.0560
 59.0   2.0086   2.0086   1.1379   0.0000   0.0451
 60.0   2.0612   2.0612   1.2348   0.0000   0.0477
 61.0   2.1469   2.1469   1.6308   0.0000   0.0604
 62.0   2.2204   2.2204   1.9285   0.0000   0.0691
