#number of points averaged per size parameter = 4999
#   x       qext           qsca q          back             gsca            qp180
0.0000            nan             nan             nan             nan             nan
0.0010  -0.0006946513    0.0000000000    0.0000000000    0.0000003285    0.1193661208
0.0020  -0.0013893166    0.0000000000    0.0000000001    0.0000013134    0.1193658613
0.0030  -0.0020840098    0.0000000002    0.0000000003    0.0000029551    0.1193654287
0.0040  -0.0027787450    0.0000000005    0.0000000008    0.0000052534    0.1193648231
0.0050  -0.0034735359    0.0000000013    0.0000000020    0.0000082084    0.1193640445
0.0060  -0.0041683963    0.0000000027    0.0000000041    0.0000118199    0.1193630929
0.0070  -0.0048633401    0.0000000050    0.0000000075    0.0000160879    0.1193619683
0.0080  -0.0055583811    0.0000000086    0.0000000128    0.0000210124    0.1193606708
0.0090  -0.0062535327    0.0000000137    0.0000000206    0.0000265933    0.1193592003
0.0100  -0.0069488089    0.0000000209    0.0000000314    0.0000328305    0.1193575568
0.0110  -0.0076442230    0.0000000306    0.0000000459    0.0000397239    0.1193557405
0.0120  -0.0083397887    0.0000000434    0.0000000650    0.0000472734    0.1193537513
0.0130  -0.0090355196    0.0000000597    0.0000000896    0.0000554789    0.1193515892
0.0140  -0.0097314290    0.0000000803    0.0000001205    0.0000643403    0.1193492544
0.0150  -0.0104275304    0.0000001059    0.0000001588    0.0000738574    0.1193467468
0.0160  -0.0111238372    0.0000001371    0.0000002055    0.0000840301    0.1193440664
0.0170  -0.0118203627    0.0000001747    0.0000002620    0.0000948583    0.1193412134
0.0180  -0.0125171202    0.0000002195    0.0000003292    0.0001063418    0.1193381876
0.0190  -0.0132141231    0.0000002726    0.0000004087    0.0001184804    0.1193349893
0.0200  -0.0139113844    0.0000003347    0.0000005018    0.0001312740    0.1193316185
0.0210  -0.0146089174    0.0000004068    0.0000006100    0.0001447223    0.1193280751
0.0220  -0.0153067352    0.0000004900    0.0000007348    0.0001588252    0.1193243593
0.0230  -0.0160048509    0.0000005854    0.0000008777    0.0001735824    0.1193204710
0.0240  -0.0167032775    0.0000006941    0.0000010407    0.0001889938    0.1193164105
0.0250  -0.0174020281    0.0000008172    0.0000012253    0.0002050590    0.1193121777
0.0260  -0.0181011156    0.0000009561    0.0000014334    0.0002217779    0.1193077727
0.0270  -0.0188005530    0.0000011119    0.0000016670    0.0002391502    0.1193031955
0.0280  -0.0195003531    0.0000012861    0.0000019280    0.0002571757    0.1192984463
0.0290  -0.0202005288    0.0000014800    0.0000022186    0.0002758540    0.1192935251
