#number of points averaged per size parameter = 4999
#   x        qext          qsca q         back            gsca           qp180
0.0000           nan            nan            nan            nan            nan
0.0010  -0.000326324    0.000000000    0.000000000    0.000000613    0.119366053
0.0020  -0.000652670    0.000000000    0.000000000    0.000002452    0.119365590
0.0030  -0.000979063    0.000000000    0.000000000    0.000005518    0.119364818
0.0040  -0.001305526    0.000000001    0.000000001    0.000009809    0.119363737
0.0050  -0.001632081    0.000000002    0.000000002    0.000015327    0.119362348
0.0060  -0.001958752    0.000000003    0.000000005    0.000022070    0.119360650
0.0070  -0.002285561    0.000000006    0.000000009    0.000030038    0.119358643
0.0080  -0.002612532    0.000000010    0.000000015    0.000039232    0.119356328
0.0090  -0.002939687    0.000000016    0.000000024    0.000049650    0.119353704
0.0100  -0.003267049    0.000000024    0.000000036    0.000061294    0.119350772
0.0110  -0.003594641    0.000000035    0.000000053    0.000074161    0.119347532
0.0120  -0.003922486    0.000000050    0.000000075    0.000088252    0.119343983
0.0130  -0.004250606    0.000000069    0.000000103    0.000103566    0.119340127
0.0140  -0.004579024    0.000000092    0.000000139    0.000120103    0.119335962
0.0150  -0.004907762    0.000000122    0.000000183    0.000137862    0.119331490
0.0160  -0.005236843    0.000000158    0.000000237    0.000156843    0.119326710
0.0170  -0.005566290    0.000000201    0.000000301    0.000177044    0.119321623
0.0180  -0.005896125    0.000000253    0.000000379    0.000198466    0.119316228
0.0190  -0.006226371    0.000000314    0.000000470    0.000221107    0.119310527
0.0200  -0.006557049    0.000000385    0.000000577    0.000244966    0.119304518
0.0210  -0.006888182    0.000000468    0.000000702    0.000270044    0.119298203
0.0220  -0.007219794    0.000000564    0.000000845    0.000296339    0.119291582
0.0230  -0.007551905    0.000000674    0.000001010    0.000323849    0.119284654
0.0240  -0.007884538    0.000000799    0.000001197    0.000352575    0.119277420
0.0250  -0.008217715    0.000000941    0.000001410    0.000382515    0.119269880
0.0260  -0.008551459    0.000001100    0.000001649    0.000413668    0.119262035
0.0270  -0.008885792    0.000001280    0.000001918    0.000446033    0.119253885
0.0280  -0.009220736    0.000001480    0.000002218    0.000479609    0.119245429
0.0290  -0.009556313    0.000001703    0.000002552    0.000514394    0.119236670
0.0300  -0.009892545    0.000001951    0.000002923    0.000550388    0.119227605
0.0310  -0.010229454    0.000002224    0.000003333    0.000587589    0.119218237
0.0320  -0.010567063    0.000002526    0.000003784    0.000625996    0.119208565
